ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.00134,0.00247,0.00532,0.00698,0.00123,0.00196,0.00333,0.00306,0.00128,0.00218,0.0041,0.00425
RW,0.08973,0.09731,0.11625,0.13289,0.13702,0.13224,0.12897,0.10596,0.10824,0.112,0.12218,0.1178
R1,0.23458,0.28357,0.3734,0.46623,0.21241,0.22324,0.23596,0.2063,0.22273,0.24971,0.28909,0.28589
R2,0.03111,0.04042,0.06048,0.08182,0.02831,0.03191,0.03804,0.03607,0.02961,0.03565,0.04669,0.05004
R3,0.00616,0.00852,0.01402,0.01759,0.00559,0.00675,0.00877,0.00773,0.00585,0.00753,0.01079,0.01073
RL,0.21124,0.26055,0.35105,0.4389,0.19106,0.20506,0.22183,0.19422,0.20044,0.2294,0.27179,0.26915
RSU,0.0561,0.07728,0.12611,0.19383,0.04634,0.05029,0.05934,0.05375,0.05057,0.06084,0.08063,0.08406
RS,0.04804,0.07229,0.12283,0.19169,0.03955,0.04687,0.0576,0.053,0.04322,0.05678,0.07835,0.08295


W
R4,0.00058,0.00073,0.00297,0.00759,0.00083,0.00073,0.00187,0.00382,0.00065,0.00071,0.00229,0.00506
RW,0.06177,0.08016,0.10068,0.12322,0.12394,0.1332,0.12611,0.11098,0.07904,0.09611,0.10905,0.11605
R1,0.16071,0.2342,0.3269,0.43722,0.18315,0.22021,0.22968,0.219,0.16475,0.21809,0.26391,0.29035
R2,0.01442,0.02328,0.04414,0.07606,0.01672,0.02154,0.02964,0.03797,0.01504,0.02174,0.03523,0.05039
R3,0.00149,0.00256,0.0081,0.01824,0.00197,0.00267,0.00539,0.00913,0.00162,0.00247,0.00643,0.0121
RL,0.13928,0.21222,0.30273,0.40775,0.161,0.20041,0.21283,0.20413,0.14315,0.19779,0.24436,0.27069
RSU,0.02921,0.05661,0.10095,0.16733,0.03604,0.0492,0.05608,0.0594,0.02967,0.0477,0.06853,0.08616
RS,0.02341,0.05234,0.09795,0.16521,0.02739,0.04354,0.05325,0.0585,0.02365,0.04386,0.06629,0.08491


Y
R4,0.00039,0.00105,0.0113,0.02137,0.00032,0.00086,0.00771,0.00987,0.00035,0.00094,0.00916,0.01348
RW,0.09168,0.10076,0.12513,0.14835,0.13295,0.14631,0.15099,0.12208,0.1083,0.11885,0.13649,0.13376
R1,0.22981,0.2902,0.39952,0.50896,0.19689,0.24457,0.27453,0.23236,0.21181,0.26464,0.3248,0.31878
R2,0.03011,0.04241,0.07852,0.1261,0.02544,0.03577,0.05381,0.05759,0.02754,0.0387,0.06374,0.07899
R3,0.00414,0.00646,0.02292,0.0427,0.00351,0.00544,0.0157,0.01958,0.0038,0.00589,0.01861,0.02681
RL,0.21225,0.26895,0.37317,0.48005,0.18167,0.22646,0.25648,0.21912,0.19552,0.24514,0.30341,0.30064
RSU,0.05363,0.07989,0.13884,0.22471,0.0395,0.05869,0.07716,0.06642,0.04526,0.06691,0.09847,0.10229
RS,0.0457,0.07479,0.13538,0.22248,0.03344,0.0547,0.07504,0.06558,0.03841,0.06247,0.09585,0.10106


Z
R4,0.0036,0.00509,0.00966,0.01616,0.00338,0.00426,0.00635,0.00732,0.00348,0.00464,0.00766,0.01007
RW,0.08469,0.10124,0.1201,0.14089,0.13725,0.14636,0.13791,0.11545,0.10459,0.11955,0.12828,0.12677
R1,0.22968,0.30233,0.39055,0.48976,0.21945,0.2539,0.25557,0.22288,0.22417,0.27586,0.30888,0.30618
R2,0.03129,0.04643,0.07494,0.11427,0.02964,0.03899,0.04907,0.05206,0.03041,0.04237,0.05928,0.07148
R3,0.00901,0.01209,0.02261,0.03553,0.0085,0.01015,0.01482,0.01619,0.00874,0.01103,0.0179,0.02222
RL,0.19262,0.26766,0.3585,0.4585,0.18414,0.22447,0.23451,0.20862,0.18805,0.24405,0.28347,0.28661
RSU,0.05293,0.08691,0.14015,0.21693,0.04823,0.06388,0.07073,0.0637,0.05024,0.07349,0.09391,0.09834
RS,0.04504,0.08168,0.13682,0.21479,0.04088,0.05985,0.06884,0.0629,0.04265,0.06894,0.0915,0.09716


