ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R4,0.01475,0.01435,0.018,0.02786,0.01465,0.01264,0.01297,0.01432,0.01469,0.01341,0.01501,0.01872
RW,0.10638,0.11301,0.1295,0.14633,0.17968,0.17195,0.16066,0.13583,0.13335,0.13614,0.14277,0.13908
R1,0.27712,0.33398,0.41691,0.50335,0.27023,0.29178,0.29354,0.26145,0.2732,0.31083,0.34285,0.34056
R2,0.07112,0.07685,0.09922,0.13477,0.06929,0.06747,0.07026,0.06971,0.07011,0.07171,0.08187,0.09092
R3,0.02661,0.02844,0.036,0.05109,0.02611,0.02504,0.02557,0.02624,0.02633,0.02657,0.02976,0.03432
RL,0.2461,0.30069,0.38478,0.47136,0.23988,0.26274,0.27091,0.2447,0.24257,0.27987,0.31642,0.31881
RSU,0.08125,0.10501,0.15921,0.22591,0.07692,0.08359,0.0906,0.08215,0.07863,0.09249,0.1141,0.11711
RS,0.07242,0.09954,0.15577,0.22368,0.06835,0.07912,0.08843,0.08118,0.06998,0.08759,0.11146,0.11577


U
R4,0.00106,0.0017,0.0068,0.00751,0.00092,0.00132,0.00441,0.00355,0.00098,0.00149,0.00533,0.00479
RW,0.08679,0.09383,0.1161,0.13214,0.13501,0.1314,0.13247,0.11069,0.10555,0.10932,0.12328,0.11927
R1,0.23318,0.28161,0.37491,0.46695,0.2107,0.22606,0.24219,0.21829,0.22124,0.25041,0.2931,0.29518
R2,0.02788,0.03439,0.06108,0.08313,0.02517,0.02751,0.03909,0.03857,0.02644,0.03052,0.04748,0.05227
R3,0.00549,0.00616,0.01551,0.0196,0.00494,0.00495,0.00985,0.00904,0.0052,0.00548,0.012,0.01226
RL,0.20557,0.25624,0.35127,0.43714,0.18566,0.20574,0.22689,0.20438,0.19499,0.22788,0.2746,0.27636
RSU,0.05425,0.07478,0.12802,0.19891,0.04454,0.05008,0.06161,0.05899,0.0488,0.05974,0.08243,0.08933
RS,0.04613,0.06984,0.12472,0.19676,0.03772,0.04661,0.05984,0.05821,0.0414,0.05567,0.08014,0.08819


W
R4,0.0005,0.00052,0.00502,0.00583,0.00045,0.00046,0.0035,0.00324,0.00048,0.00049,0.00412,0.00408
RW,0.05959,0.07791,0.09951,0.12199,0.11743,0.1312,0.12847,0.11565,0.07686,0.09423,0.10864,0.11664
R1,0.16408,0.23388,0.32925,0.43656,0.1813,0.22001,0.2361,0.23119,0.16749,0.2183,0.26711,0.29786
R2,0.01265,0.02127,0.04637,0.07301,0.01436,0.01909,0.03206,0.0388,0.01315,0.01971,0.03747,0.04984
R3,0.00098,0.00178,0.01028,0.01734,0.00091,0.00164,0.00722,0.00926,0.00094,0.00167,0.00841,0.01184
RL,0.13637,0.20968,0.30189,0.40519,0.15335,0.19764,0.21691,0.21478,0.13991,0.19581,0.24501,0.27664
RSU,0.0301,0.05733,0.10349,0.16979,0.03627,0.04969,0.05906,0.064,0.03024,0.04847,0.07039,0.08894
RS,0.0242,0.05309,0.10047,0.16764,0.02724,0.04421,0.05612,0.06305,0.0241,0.04464,0.06813,0.08766


Y
R4,0.00052,0.00119,0.01373,0.02208,0.00045,0.00095,0.00918,0.01068,0.00048,0.00105,0.01096,0.01427
RW,0.08926,0.09791,0.12491,0.14501,0.13217,0.14624,0.15435,0.12496,0.10637,0.11682,0.13723,0.13272
R1,0.22923,0.28203,0.39782,0.5026,0.19693,0.24205,0.27891,0.24194,0.21162,0.25959,0.32587,0.3237
R2,0.0282,0.03843,0.07812,0.12257,0.02404,0.03257,0.0542,0.05894,0.02593,0.03513,0.06365,0.07887
R3,0.00375,0.00637,0.02496,0.04188,0.00324,0.00538,0.01689,0.02008,0.00347,0.00581,0.02005,0.02689
RL,0.21012,0.26313,0.37225,0.47233,0.18045,0.22554,0.26091,0.22728,0.19394,0.24203,0.30488,0.30412
RSU,0.05415,0.07708,0.1405,0.22604,0.04026,0.05804,0.07915,0.07111,0.046,0.06545,0.09951,0.10574
RS,0.04632,0.07216,0.13705,0.22383,0.03425,0.05409,0.07701,0.07025,0.03922,0.0611,0.0969,0.10451


Z
