ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
RW,0.10303,0.11225,0.11973,0.15538,0.17345,0.18469,0.19622,0.1525,0.12903,0.13947,0.14866,0.15373
R1,0.2683,0.32925,0.39278,0.5264,0.26391,0.31382,0.37176,0.29735,0.26573,0.32115,0.38189,0.37966
R2,0.06614,0.07776,0.09649,0.14204,0.06506,0.07419,0.09147,0.07993,0.06554,0.07589,0.09389,0.10221
R3,0.0266,0.02917,0.0366,0.05535,0.02606,0.02782,0.03479,0.03103,0.02631,0.02846,0.03567,0.03974
RL,0.23586,0.30115,0.36548,0.49252,0.23184,0.28684,0.34596,0.27816,0.23352,0.29364,0.35537,0.35519
RSU,0.07598,0.10305,0.14756,0.26416,0.07301,0.09418,0.13229,0.08449,0.07415,0.09819,0.13938,0.12762
RS,0.06734,0.09798,0.1448,0.26163,0.06451,0.08948,0.12974,0.08333,0.06562,0.09333,0.13674,0.12599


U
R4,0.00128,0.00268,0.0069,0.00685,0.00114,0.00239,0.00603,0.00346,0.0012,0.00253,0.00644,0.0046
RW,0.08725,0.0931,0.10901,0.14055,0.13518,0.14193,0.16483,0.12396,0.1059,0.11235,0.13117,0.13171
R1,0.2304,0.28245,0.36085,0.48678,0.21003,0.24889,0.31504,0.24702,0.21958,0.26451,0.33633,0.32768
R2,0.0287,0.03791,0.06094,0.08226,0.02628,0.03354,0.05319,0.04166,0.02741,0.03558,0.05679,0.0553
R3,0.00513,0.00776,0.01475,0.01799,0.00466,0.00689,0.01289,0.0091,0.00488,0.0073,0.01376,0.01209
RL,0.2027,0.25704,0.33986,0.45685,0.18466,0.22645,0.29679,0.23181,0.19311,0.24069,0.31681,0.30752
RSU,0.05356,0.07656,0.12263,0.22673,0.04486,0.05989,0.09376,0.05863,0.04869,0.06711,0.10619,0.09314
RS,0.0456,0.07194,0.11994,0.22423,0.0381,0.05615,0.09159,0.05771,0.04139,0.06298,0.10379,0.09177


W
R4,0.0,0.00099,0.00359,0.0071,0.0,0.00096,0.00312,0.00394,0.0,0.00097,0.00334,0.00505
RW,0.06256,0.07662,0.09186,0.13087,0.12599,0.13985,0.15458,0.13057,0.08044,0.0956,0.11307,0.13002
R1,0.16234,0.2296,0.31231,0.46006,0.18405,0.23763,0.29946,0.26449,0.16627,0.22543,0.30053,0.33421
R2,0.01267,0.021,0.04324,0.07602,0.01513,0.02079,0.03988,0.04327,0.01344,0.02051,0.0412,0.05489
R3,0.00075,0.00249,0.00864,0.01868,0.00104,0.00239,0.00775,0.01054,0.00086,0.00243,0.00815,0.01342
RL,0.14205,0.20765,0.28773,0.42686,0.16362,0.21457,0.27639,0.24528,0.14611,0.20376,0.277,0.31
RSU,0.02892,0.05604,0.09731,0.20227,0.03556,0.05636,0.08628,0.06721,0.02911,0.05175,0.08783,0.09923
RS,0.02302,0.05216,0.09489,0.19978,0.02641,0.05059,0.08314,0.0661,0.02295,0.04797,0.08552,0.09768


Y
R4,0.00026,0.00178,0.01158,0.02454,0.00022,0.00169,0.01096,0.01273,0.00024,0.00173,0.01125,0.01676
RW,0.0866,0.09468,0.11435,0.15585,0.12781,0.15406,0.18807,0.14176,0.10305,0.11685,0.14192,0.14841
R1,0.22279,0.27466,0.3784,0.52861,0.19244,0.25894,0.35946,0.27659,0.20624,0.26579,0.36804,0.36307
R2,0.02514,0.03986,0.07465,0.13164,0.02152,0.0375,0.07103,0.06873,0.02315,0.03854,0.07267,0.09029
R3,0.00251,0.00659,0.02248,0.04649,0.00213,0.00627,0.02133,0.0242,0.00231,0.0064,0.02185,0.03182
RL,0.20441,0.25646,0.35339,0.49569,0.1766,0.24163,0.3357,0.25939,0.18926,0.24809,0.34372,0.34048
RSU,0.05096,0.07435,0.13148,0.26483,0.0382,0.0654,0.11889,0.07289,0.04346,0.06885,0.12401,0.11424
RS,0.04329,0.06985,0.1287,0.26229,0.03226,0.06125,0.11631,0.07187,0.03679,0.06457,0.12135,0.11274


Z
R4,0.00392,0.00426,0.01143,0.01689,0.00365,0.00402,0.01033,0.00874,0.00378,0.00413,0.01085,0.01152
RW,0.08324,0.09766,0.11031,0.14637,0.13624,0.15868,0.17248,0.13256,0.10322,0.1208,0.13449,0.13908
R1,0.22961,0.29714,0.37211,0.50543,0.21994,0.27959,0.33617,0.26351,0.22441,0.28796,0.35314,0.34638
R2,0.03056,0.04467,0.07392,0.11578,0.0288,0.04208,0.06685,0.06022,0.02963,0.04332,0.07019,0.07922
R3,0.0093,0.01111,0.0234,0.03644,0.00873,0.01048,0.02114,0.01892,0.009,0.01078,0.02221,0.0249
RL,0.19238,0.26343,0.34215,0.47129,0.18439,0.24775,0.30905,0.24569,0.18808,0.25523,0.32468,0.32296
RSU,0.0524,0.08355,0.1322,0.24849,0.04779,0.07406,0.10814,0.06785,0.04979,0.07837,0.11886,0.10656
RS,0.04445,0.07875,0.12949,0.246,0.04035,0.06971,0.10582,0.06687,0.04212,0.0738,0.11635,0.10512


