ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
RS,0.01634,0.03501,0.07526,0.10432,0.02516,0.03809,0.05918,0.08066,0.01851,0.03546,0.06549,0.09059


T
R4,0.01058,0.01231,0.01618,0.0255,0.01024,0.01182,0.01477,0.024,0.01038,0.01203,0.01542,0.0247
RW,0.11602,0.10899,0.11332,0.12268,0.16498,0.15647,0.16101,0.17879,0.13539,0.12818,0.13277,0.14523
R1,0.22717,0.24869,0.28839,0.35315,0.21008,0.23256,0.26478,0.3312,0.2169,0.23984,0.2756,0.34126
R2,0.061,0.06616,0.07654,0.10607,0.05557,0.06165,0.0696,0.09892,0.05784,0.06367,0.07279,0.10223
R3,0.02088,0.0251,0.03142,0.04626,0.01959,0.02356,0.02848,0.04328,0.02012,0.02423,0.02984,0.04467
RL,0.21335,0.23075,0.2728,0.33846,0.19776,0.21595,0.25063,0.31741,0.20396,0.22263,0.26079,0.32706
RSU,0.065,0.06071,0.08097,0.11295,0.05564,0.05311,0.06771,0.0992,0.05861,0.05617,0.07325,0.10498
RS,0.05249,0.05325,0.07679,0.11048,0.04449,0.04639,0.06405,0.09694,0.04703,0.04914,0.06937,0.10262


U
R4,0.0,0.00068,0.00387,0.00368,0.0,0.00065,0.00371,0.00343,0.0,0.00066,0.00378,0.00355
RW,0.07836,0.07324,0.0838,0.09015,0.11982,0.10846,0.12541,0.13216,0.09414,0.0872,0.10014,0.10702
R1,0.15366,0.16006,0.21125,0.26491,0.15465,0.1547,0.20416,0.2494,0.15326,0.157,0.20702,0.25655
R2,0.02237,0.02577,0.03681,0.0429,0.0217,0.02476,0.03556,0.04031,0.02191,0.0252,0.03608,0.04151
R3,0.00289,0.00387,0.00819,0.0102,0.00265,0.00369,0.00799,0.00959,0.00276,0.00376,0.00808,0.00987
RL,0.14275,0.15167,0.20225,0.25372,0.14406,0.14672,0.19568,0.23912,0.14256,0.14883,0.19831,0.24586
RSU,0.0295,0.02734,0.04169,0.06226,0.0298,0.02586,0.03912,0.05551,0.02904,0.02638,0.03991,0.05837
RS,0.01985,0.02213,0.03826,0.06017,0.01983,0.02094,0.03586,0.05362,0.0194,0.02135,0.03659,0.05639


W
R4,0.00046,0.0,0.00282,0.00505,0.00186,0.0,0.00262,0.00516,0.00074,0.0,0.00272,0.00508
RW,0.04236,0.0544,0.0693,0.0855,0.09654,0.10395,0.11146,0.13572,0.05599,0.06875,0.08396,0.1042
R1,0.0768,0.11859,0.17843,0.2477,0.11183,0.14422,0.18409,0.25325,0.0864,0.12537,0.17797,0.24885
R2,0.01107,0.01196,0.02454,0.04487,0.02133,0.01526,0.02482,0.04557,0.01366,0.01302,0.02443,0.04497
R3,0.00133,0.00087,0.00461,0.01221,0.00351,0.00087,0.00439,0.01245,0.00177,0.00087,0.00449,0.01227
RL,0.07201,0.10986,0.16653,0.23767,0.10644,0.13492,0.17207,0.24275,0.08141,0.11643,0.16618,0.23866
RSU,0.0107,0.01665,0.03167,0.05513,0.02871,0.02559,0.03321,0.05743,0.01326,0.01807,0.03057,0.05493
RS,0.00587,0.0127,0.02874,0.05315,0.01734,0.01846,0.02977,0.05532,0.00748,0.01375,0.02765,0.05293


Y
R4,0.00051,0.00069,0.00847,0.01543,0.0004,0.00052,0.00727,0.01332,0.00045,0.00059,0.00781,0.01428
RW,0.1075,0.10753,0.11133,0.1197,0.11774,0.13586,0.15396,0.16009,0.11185,0.11956,0.12884,0.13676
R1,0.21442,0.24413,0.28841,0.35295,0.15366,0.20124,0.25811,0.30382,0.17834,0.21985,0.27173,0.32618
R2,0.03733,0.04172,0.05964,0.08806,0.02738,0.03387,0.05247,0.07567,0.03149,0.03727,0.05569,0.08131
R3,0.00417,0.0049,0.01585,0.03175,0.00305,0.00399,0.01364,0.02725,0.00352,0.00438,0.01464,0.0293
RL,0.20217,0.23142,0.27597,0.33756,0.14537,0.19085,0.24691,0.29051,0.16847,0.20845,0.25998,0.31193
RSU,0.05199,0.05796,0.07431,0.10897,0.02696,0.03908,0.05926,0.08077,0.03511,0.04605,0.06531,0.09237
RS,0.03927,0.05061,0.06999,0.10646,0.01987,0.03375,0.05565,0.07879,0.02611,0.03994,0.0614,0.09016


Z
R4,0.00185,0.00274,0.0079,0.01422,0.00181,0.00267,0.007,0.01218,0.00183,0.0027,0.00741,0.0131
RW,0.0768,0.08509,0.10059,0.11269,0.11298,0.12325,0.13923,0.15424,0.09082,0.1004,0.11662,0.12993
R1,0.15396,0.19197,0.25906,0.32844,0.14713,0.18122,0.23162,0.28987,0.14946,0.18595,0.24424,0.30741
R2,0.02355,0.03739,0.0551,0.0823,0.02261,0.03518,0.04868,0.07147,0.02289,0.03614,0.05162,0.07636
R3,0.00626,0.00872,0.01696,0.02846,0.00614,0.0084,0.01503,0.02449,0.00618,0.00854,0.01591,0.02628
RL,0.13838,0.17596,0.24491,0.31391,0.13321,0.16615,0.21895,0.27695,0.13481,0.17048,0.23089,0.29376
RSU,0.03263,0.03961,0.06499,0.10017,0.02963,0.03559,0.05138,0.07746,0.03025,0.03708,0.0571,0.08675
RS,0.02331,0.03358,0.06105,0.09781,0.02074,0.03012,0.0481,0.07551,0.02134,0.03138,0.05353,0.08462


