ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f
R1,0.23955,0.24455,0.29007,-,0.22206,0.22377,0.25955,-,0.22917,0.233,0.27361,-
R2,0.06687,0.0679,0.07903,-,0.06155,0.06108,0.0701,-,0.06379,0.06411,0.07423,-
R3,0.02177,0.02621,0.03329,-,0.02072,0.02341,0.02961,-,0.02115,0.02465,0.03132,-
RL,0.21792,0.22765,0.27511,-,0.20318,0.20856,0.24625,-,0.2091,0.21706,0.25954,-
RSU,0.07246,0.06073,0.08038,-,0.06181,0.05073,0.06402,-,0.0655,0.05462,0.07096,-
RS,0.05934,0.05334,0.07603,-,0.05001,0.04429,0.06037,-,0.0533,0.04779,0.067,-


U
R4,0.0,0.00186,0.00521,-,0.0,0.00182,0.00505,-,0.0,0.00184,0.00512,-
RW,0.07473,0.07316,0.08256,-,0.11482,0.1081,0.12113,-,0.08995,0.08693,0.09789,-
R1,0.1415,0.16028,0.20641,-,0.14268,0.15278,0.19453,-,0.14129,0.15594,0.19973,-
R2,0.02475,0.02893,0.03654,-,0.02429,0.02756,0.03477,-,0.02438,0.02815,0.03555,-
R3,0.0033,0.00506,0.01043,-,0.00297,0.00491,0.01002,-,0.00312,0.00497,0.0102,-
RL,0.13431,0.15323,0.19842,-,0.13569,0.14619,0.18716,-,0.13424,0.14915,0.19207,-
RSU,0.02677,0.02786,0.04046,-,0.02731,0.02561,0.03609,-,0.02651,0.02639,0.03775,-
RS,0.01759,0.02256,0.037,-,0.01775,0.02072,0.03295,-,0.01732,0.02135,0.03449,-


W
R4,0.0,0.00042,0.00109,-,0.0,0.00045,0.00103,-,0.0,0.00044,0.00106,-
RW,0.03844,0.05147,0.06462,-,0.08742,0.09527,0.10552,-,0.05039,0.06471,0.07789,-
R1,0.06915,0.11198,0.16067,-,0.09927,0.13084,0.16651,-,0.0767,0.11701,0.15916,-
R2,0.00749,0.01237,0.02031,-,0.01317,0.01467,0.02047,-,0.00906,0.01314,0.02012,-
R3,0.00041,0.00086,0.00257,-,0.00033,0.0009,0.0024,-,0.00037,0.00088,0.00248,-
RL,0.0641,0.10451,0.15314,-,0.0936,0.12269,0.15886,-,0.07146,0.10927,0.15171,-
RSU,0.0093,0.01559,0.02592,-,0.02268,0.02184,0.02774,-,0.01091,0.01674,0.02481,-
RS,0.00471,0.01184,0.02316,-,0.01011,0.01581,0.02393,-,0.0055,0.01273,0.02211,-


Y
R4,0.00047,0.00071,0.00908,-,0.00036,0.0006,0.00784,-,0.00041,0.00065,0.00841,-
RW,0.10554,0.10259,0.10643,-,0.11726,0.12864,0.14416,-,0.11065,0.11359,0.12209,-
R1,0.20893,0.23378,0.27186,-,0.15147,0.1892,0.23743,-,0.17513,0.2083,0.2529,-
R2,0.0414,0.04291,0.05735,-,0.02986,0.03426,0.0498,-,0.03459,0.03797,0.05319,-
R3,0.0042,0.00424,0.01703,-,0.00303,0.00344,0.01462,-,0.00351,0.00378,0.01571,-
RL,0.20002,0.22273,0.26018,-,0.14527,0.18051,0.22701,-,0.16784,0.1986,0.2419,-
RSU,0.04979,0.05505,0.06756,-,0.02697,0.03587,0.05138,-,0.03469,0.04278,0.0579,-
RS,0.03744,0.0478,0.06336,-,0.01998,0.03077,0.04802,-,0.02584,0.03687,0.05419,-


Z
R4,0.00137,0.00289,0.00933,-,0.00124,0.0027,0.00778,-,0.0013,0.00279,0.00847,-
RW,0.07392,0.08515,0.09868,-,0.10981,0.12382,0.13383,-,0.08785,0.10064,0.11337,-
R1,0.15491,0.19393,0.25243,-,0.1499,0.18148,0.22062,-,0.15136,0.18702,0.23512,-
R2,0.02569,0.03835,0.0539,-,0.02436,0.03588,0.04613,-,0.02478,0.03698,0.04963,-
R3,0.00539,0.00787,0.01821,-,0.00484,0.0075,0.01538,-,0.00508,0.00768,0.01664,-
RL,0.1359,0.17999,0.23905,-,0.13193,0.16836,0.20891,-,0.133,0.17355,0.22264,-
RSU,0.03371,0.04074,0.06241,-,0.03298,0.03599,0.04742,-,0.03243,0.03785,0.0536,-
RS,0.02437,0.03466,0.05847,-,0.024,0.03055,0.04427,-,0.02345,0.03215,0.0501,-


