ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R2,0.03091,0.06261,0.0969,0.13053,0.03872,0.06329,0.08697,0.1138,0.03388,0.06259,0.09163,0.12158
R3,0.0103,0.02565,0.03827,0.05577,0.01309,0.02605,0.03435,0.04862,0.01135,0.02569,0.03619,0.05194
RL,0.15987,0.2634,0.367,0.44738,0.19954,0.26335,0.32874,0.38986,0.17504,0.26205,0.34668,0.41661
RSU,0.03934,0.08337,0.15143,0.21231,0.06208,0.08305,0.12182,0.16149,0.04578,0.08162,0.1348,0.18339
RS,0.0323,0.07856,0.1486,0.21083,0.05116,0.07814,0.11942,0.16025,0.03754,0.07683,0.1322,0.18204


T
R4,0.01119,0.01462,0.01962,0.03468,0.01053,0.01408,0.01873,0.03336,0.01083,0.01433,0.01916,0.03399
RW,0.10666,0.11256,0.11973,0.12795,0.17401,0.18269,0.19622,0.21559,0.13198,0.13917,0.14866,0.16044
R1,0.27199,0.32843,0.39278,0.46391,0.26262,0.31176,0.37176,0.44817,0.26678,0.31968,0.38189,0.45547
R2,0.06157,0.07937,0.09649,0.13653,0.05966,0.07559,0.09147,0.13167,0.0605,0.07738,0.09389,0.13395
R3,0.02192,0.02943,0.0366,0.05805,0.02094,0.02816,0.03479,0.05581,0.02138,0.02876,0.03567,0.05688
RL,0.24215,0.29987,0.36548,0.43985,0.23378,0.28464,0.34596,0.42492,0.2375,0.29188,0.35537,0.43184
RSU,0.07516,0.10271,0.14756,0.20449,0.07035,0.09323,0.13229,0.19077,0.07225,0.0975,0.13938,0.1967
RS,0.06627,0.09762,0.1448,0.20303,0.06191,0.08855,0.12974,0.18937,0.06363,0.09263,0.13674,0.19527


U
R4,0.00077,0.00197,0.0069,0.00684,0.00071,0.00176,0.00603,0.00595,0.00074,0.00186,0.00644,0.00636
RW,0.09204,0.09429,0.10901,0.11426,0.13814,0.14148,0.16483,0.17296,0.11035,0.11308,0.13117,0.13759
R1,0.24196,0.27717,0.36085,0.43128,0.21613,0.24336,0.31504,0.37433,0.2281,0.25907,0.33633,0.40075
R2,0.03064,0.03529,0.06094,0.07865,0.02764,0.03116,0.05319,0.06824,0.02902,0.03309,0.05679,0.07307
R3,0.00576,0.0069,0.01475,0.01788,0.00521,0.00615,0.01289,0.01553,0.00546,0.0065,0.01376,0.01662
RL,0.21349,0.25589,0.33986,0.40748,0.19063,0.22465,0.29679,0.35367,0.20122,0.23917,0.31681,0.37863
RSU,0.05773,0.07387,0.12263,0.17669,0.04658,0.05744,0.09376,0.13342,0.05137,0.06454,0.10619,0.15198
RS,0.04932,0.06929,0.11994,0.17526,0.03967,0.05377,0.09159,0.13224,0.04381,0.06048,0.10379,0.15068


W
R4,0.00054,0.00038,0.00359,0.00843,0.0009,0.00033,0.00312,0.00834,0.00063,0.00035,0.00334,0.00835
RW,0.05958,0.07912,0.09186,0.10441,0.11934,0.14311,0.15458,0.17827,0.07634,0.09832,0.11307,0.13108
R1,0.1584,0.23221,0.31231,0.39415,0.18059,0.24078,0.29946,0.38634,0.16258,0.22803,0.30053,0.38836
R2,0.0145,0.02286,0.04324,0.07318,0.01882,0.02413,0.03988,0.07161,0.0157,0.02257,0.0412,0.07205
R3,0.0018,0.00213,0.00864,0.01939,0.00324,0.00246,0.00775,0.01907,0.0022,0.00212,0.00815,0.01914
RL,0.13445,0.21048,0.28773,0.37112,0.15535,0.2193,0.27639,0.36362,0.1383,0.20689,0.277,0.3656
RSU,0.02878,0.0569,0.09731,0.14865,0.03772,0.0578,0.08628,0.14226,0.02944,0.05244,0.08783,0.14273
RS,0.023,0.05297,0.09489,0.14726,0.02911,0.05197,0.08314,0.14089,0.02343,0.04861,0.08552,0.14136


Y
R4,0.00028,0.00095,0.01158,0.02217,0.00022,0.00088,0.01096,0.0198,0.00025,0.00091,0.01125,0.02091
RW,0.0924,0.09987,0.11435,0.12592,0.13205,0.15996,0.18807,0.19655,0.10853,0.12254,0.14192,0.15343
R1,0.2333,0.28546,0.3784,0.46557,0.19802,0.2677,0.35946,0.41657,0.2139,0.27547,0.36804,0.43957
R2,0.02952,0.04051,0.07465,0.11714,0.0251,0.03802,0.07103,0.10479,0.02709,0.03911,0.07267,0.11059
R3,0.00489,0.00612,0.02248,0.04189,0.00408,0.00577,0.02133,0.03745,0.00444,0.00592,0.02185,0.03953
RL,0.21209,0.26704,0.35339,0.44173,0.18015,0.25038,0.3357,0.39527,0.19454,0.25767,0.34372,0.41708
RSU,0.05512,0.07785,0.13148,0.20217,0.04034,0.06783,0.11889,0.1622,0.04635,0.07171,0.12401,0.17977
RS,0.04702,0.07316,0.1287,0.20068,0.03426,0.06354,0.11631,0.16092,0.03944,0.06727,0.12135,0.1784


Z
R4,0.00236,0.00443,0.01143,0.01963,0.0023,0.00414,0.01033,0.01747,0.00233,0.00428,0.01085,0.01849
RW,0.0828,0.09684,0.11031,0.12237,0.13195,0.1551,0.17248,0.19016,0.10164,0.11915,0.13449,0.14889
R1,0.22341,0.29051,0.37211,0.4565,0.21108,0.27243,0.33617,0.40691,0.21685,0.28108,0.35314,0.43025
R2,0.02662,0.04508,0.07392,0.1117,0.02517,0.04239,0.06685,0.09954,0.02585,0.04368,0.07019,0.10527
R3,0.0067,0.01149,0.0234,0.03801,0.00644,0.01082,0.02114,0.03385,0.00656,0.01114,0.02221,0.03581
RL,0.18737,0.25887,0.34215,0.43038,0.17682,0.24265,0.30905,0.38364,0.18175,0.25041,0.32468,0.40564
RSU,0.05075,0.08047,0.1322,0.19948,0.04542,0.07101,0.10814,0.15874,0.04777,0.07534,0.11886,0.17675
RS,0.04289,0.07572,0.12949,0.19803,0.03828,0.06674,0.10582,0.15749,0.04031,0.07085,0.11635,0.1754


