ROUGE_type,050_r,100_r,200_r,400_r,050_p,100_p,200_p,400_p,050_f,100_f,200_f,400_f

1
R1,0.16072,0.2296,0.30582,-,0.17898,0.23763,0.29523,-,0.16344,0.22543,0.29407,-
R2,0.01173,0.021,0.03942,-,0.01315,0.02079,0.03674,-,0.01208,0.02051,0.03765,-
R3,0.0005,0.00249,0.00657,-,0.00058,0.00239,0.00591,-,0.00054,0.00243,0.00618,-
RL,0.13881,0.20765,0.28397,-,0.1565,0.21457,0.27468,-,0.14144,0.20376,0.27316,-
RSU,0.02936,0.05604,0.0934,-,0.03438,0.05636,0.08358,-,0.02918,0.05175,0.084,-
RS,0.02348,0.05216,0.091,-,0.02561,0.05059,0.08009,-,0.02311,0.04797,0.08173,-


Y
R4,0.00027,0.00178,0.0122,-,0.00022,0.00169,0.01154,-,0.00024,0.00173,0.01186,-
RW,0.09341,0.09468,0.11174,-,0.1354,0.15406,0.18458,-,0.11035,0.11685,0.13898,-
R1,0.23434,0.27466,0.3687,-,0.20044,0.25894,0.34936,-,0.21585,0.26579,0.35826,-
R2,0.03213,0.03986,0.07279,-,0.02715,0.0375,0.06926,-,0.0294,0.03854,0.07088,-
R3,0.00382,0.00659,0.02301,-,0.00326,0.00627,0.02195,-,0.00352,0.0064,0.02244,-
RL,0.21659,0.25646,0.34619,-,0.18507,0.24163,0.32812,-,0.19939,0.24809,0.33643,-
RSU,0.05645,0.07435,0.12562,-,0.04159,0.0654,0.11299,-,0.04772,0.06885,0.11833,-
RS,0.04846,0.06985,0.12288,-,0.03549,0.06125,0.11045,-,0.04082,0.06457,0.1157,-


Z
R4,0.00342,0.00426,0.01262,-,0.00314,0.00402,0.01141,-,0.00327,0.00413,0.01198,-
RW,0.08513,0.09766,0.10978,-,0.13772,0.15868,0.17234,-,0.10507,0.1208,0.13407,-
R1,0.23115,0.29714,0.37142,-,0.21992,0.27959,0.33479,-,0.22515,0.28796,0.35211,-
R2,0.03396,0.04467,0.07196,-,0.03193,0.04208,0.06497,-,0.03288,0.04332,0.06828,-
R3,0.00942,0.01111,0.02425,-,0.00877,0.01048,0.0219,-,0.00908,0.01078,0.02301,-
RL,0.19381,0.26343,0.34456,-,0.18458,0.24775,0.31056,-,0.18887,0.25523,0.32664,-
RSU,0.05265,0.08355,0.133,-,0.04776,0.07406,0.10829,-,0.04989,0.07837,0.11932,-
RS,0.04459,0.07875,0.1303,-,0.04033,0.06971,0.10599,-,0.04218,0.0738,0.11683,-


